"Code","Name","Sector","Source"
"AADI","PT Adaro Andalan Indonesia Tbk","Energy","stockanalysis:company"
"AALI","PT Astra Agro Lestari Tbk","Consumer Staples","stockanalysis:company"
"ABBA","PT Mahaka Media Tbk","Communication Services","stockanalysis:company"
"ABDA","PT Asuransi Bina Dana Arta Tbk","Financials","stockanalysis:company"
"ABMM","PT ABM Investama Tbk","Energy","stockanalysis:company"
"ACES","PT Aspirasi Hidup Indonesia Tbk","Consumer Discretionary","stockanalysis:company"
"ACRO","PT Samcro Hyosung Adilestari Tbk","Consumer Discretionary","stockanalysis:company"
"ACST","PT Acset Indonusa Tbk","Industrials","stockanalysis:company"
"ADCP","PT Adhi Commuter Properti Tbk","Real Estate","stockanalysis:company"
"ADES","PT Akasha Wira International Tbk","Consumer Staples","stockanalysis:company"
"ADHI","PT Adhi Karya (Persero) Tbk","Industrials","stockanalysis:company"
"ADMF","PT Adira Dinamika Multi Finance Tbk","Financials","stockanalysis:company"
"ADMG","PT. Polychem Indonesia Tbk","Materials","stockanalysis:company"
"ADMR","PT Alamtri Minerals Indonesia Tbk","Materials","stockanalysis:company"
"ADRO","PT Alamtri Resources Indonesia Tbk","Energy","stockanalysis:company"
"AEGS","PT. Anugerah Spareparts Sejahtera Tbk","Consumer Discretionary","stockanalysis:company"
"AGAR","PT Asia Sejahtera Mina Tbk","Consumer Staples","stockanalysis:company"
"AGII","PT Samator Indo Gas Tbk","Materials","stockanalysis:company"
"AGRO","PT Bank Raya Indonesia Tbk","Financials","stockanalysis:company"
"AGRS","PT Bank IBK Indonesia Tbk","Financials","stockanalysis:company"
"AHAP","PT Asuransi Harta Aman Pratama Tbk","Financials","stockanalysis:company"
"AIMS","PT Artha Mahiya Investama Tbk","Energy","stockanalysis:company"
"AISA","PT FKS Food Sejahtera Tbk","Consumer Staples","stockanalysis:company"
"AKKU","PT Anugerah Kagum Karya Utama Tbk","Consumer Discretionary","stockanalysis:company"
"AKPI","PT Argha Karya Prima Industry Tbk","Consumer Discretionary","stockanalysis:company"
"AKRA","PT AKR Corporindo Tbk","Energy","stockanalysis:company"
"AKSI","PT Mineral Sumberdaya Mandiri Tbk","Industrials","stockanalysis:company"
"ALDO","PT Alkindo Naratama Tbk","Materials","stockanalysis:company"
"ALII","PT Ancara Logistics Indonesia Tbk","Industrials","stockanalysis:company"
"ALKA","PT Alakasa Industrindo Tbk","Materials","stockanalysis:company"
"ALMI","PT Alumindo Light Metal Industry Tbk","Materials","stockanalysis:company"
"ALTO","PT Tri Banyan Tirta Tbk","Consumer Staples","stockanalysis:company"
"AMAG","PT Asuransi Multi Artha Guna Tbk","Financials","stockanalysis:company"
"AMAN","PT Makmur Berkah Amanda Tbk","Real Estate","stockanalysis:company"
"AMAR","PT Bank Amar Indonesia Tbk","Financials","stockanalysis:company"
"AMFG","PT Asahimas Flat Glass Tbk","Materials","stockanalysis:company"
"AMIN","PT Ateliers Mecaniques D'Indonesie Tbk","Industrials","stockanalysis:company"
"AMMN","PT Amman Mineral Internasional Tbk","Materials","stockanalysis:company"
"AMMS","PT Agung Menjangan Mas Tbk","Consumer Staples","stockanalysis:company"
"AMOR","PT Ashmore Asset Management Indonesia Tbk","Financials","stockanalysis:company"
"AMRT","PT Sumber Alfaria Trijaya Tbk","Consumer Staples","stockanalysis:company"
"ANDI","PT Andira Agro, Tbk","Consumer Staples","stockanalysis:company"
"ANJT","PT Austindo Nusantara Jaya Tbk","Consumer Staples","stockanalysis:company"
"ANTM","PT Antam (Persero) Tbk","Materials","stockanalysis:company"
"APEX","PT Apexindo Pratama Duta Tbk","Energy","stockanalysis:company"
"APIC","PT Pacific Strategic Financial Tbk","Financials","stockanalysis:company"
"APII","PT Arita Prima Indonesia Tbk","Industrials","stockanalysis:company"
"APLI","PT Asiaplast Industries Tbk","Consumer Discretionary","stockanalysis:company"
"APLN","PT Agung Podomoro Land Tbk","Real Estate","stockanalysis:company"
"ARCI","PT Archi Indonesia Tbk","Materials","stockanalysis:company"
"AREA","PT Dunia Virtual Online Tbk","Technology","stockanalysis:company"
"ARGO","PT Argo Pantes Tbk","Consumer Discretionary","stockanalysis:company"
"ARII","PT Atlas Resources Tbk","Energy","stockanalysis:company"
"ARKA","PT Arkha Jayanti Persada Tbk","Industrials","stockanalysis:company"
"ARKO","PT Arkora Hydro Tbk","Utilities","stockanalysis:company"
"ARNA","PT Arwana Citramulia Tbk","Industrials","stockanalysis:company"
"ARTA","PT Arthavest Tbk","Consumer Discretionary","stockanalysis:company"
"ARTO","PT Bank Jago Tbk","Financials","stockanalysis:company"
"ASBI","PT Asuransi Bintang Tbk","Financials","stockanalysis:company"
